session_examen;academie;code_region;libelle_region;tranche_age;serie;inscrits;presents;admis;admis_sans_mention;admis_ab;admis_b;admis_tb;inscrits_filles;presents_filles;admis_filles;admis_sans_mention_filles;admis_ab_filles;admis_b_filles;admis_tb_filles
2011;PARIS;11;Île-de-France;17 ans ou plus;SERIE COLLEGE;536;506;232;178;42;11;1;219;214;108;77;22;8;1
2011;MONTPELLIER;76;Occitanie;16 ans;SERIE COLLEGE;5516;5021;2992;2389;508;81;14;2589;2378;1487;1165;258;52;12
2011;MONTPELLIER;76;Occitanie;15 ans ou moins;SERIE COLLEGE;21265;21057;19223;7105;6113;4197;1808;10994;10900;10088;3458;3153;2394;1083
2011;NANCY-METZ;44;Grand-Est;15 ans ou moins;SERIE COLLEGE;19328;19177;16998;5320;5291;4151;2236;9937;9867;8954;2583;2758;2273;1340
2011;POITIERS;75;Nouvelle-Aquitaine;17 ans ou plus;SERIE COLLEGE;329;279;132;103;25;4;0;163;137;66;56;9;1;0
2011;RENNES;53;Bretagne;17 ans ou plus;SERIE COLLEGE;461;415;228;167;57;4;0;217;200;113;84;27;2;0
2011;STRASBOURG;44;Grand-Est;16 ans;SERIE COLLEGE;3987;3694;2313;1691;509;95;18;1867;1747;1173;820;282;56;15
2011;AMIENS;32;Hauts-de-France;17 ans ou plus;SERIE COLLEGE;489;406;174;148;21;5;0;229;188;87;74;11;2;0
2011;NICE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE COLLEGE;397;333;152;129;15;7;1;194;159;76;63;8;4;1
2011;CRETEIL;11;Île-de-France;17 ans ou plus;SERIE COLLEGE;1559;1332;628;479;110;31;8;683;602;316;227;61;22;6
2011;VERSAILLES;11;Île-de-France;15 ans ou moins;SERIE COLLEGE;50470;50011;46411;15523;14769;11355;4764;26028;25849;24409;7357;7619;6429;3004
2011;GUADELOUPE;01;Guadeloupe;16 ans;SERIE COLLEGE;1494;1379;699;588;91;18;2;660;617;352;291;46;13;2
2011;CLERMONT-FERRAND;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE PROFESSIONNELLE;163;157;125;73;40;11;1;58;57;46;27;14;4;1
2011;DIJON;27;Bourgogne-et-Franche-Comté;15 ans ou moins;SERIE PROFESSIONNELLE;43;43;36;17;14;5;0;17;17;15;4;8;3;0
2011;LILLE;32;Hauts-de-France;16 ans;SERIE PROFESSIONNELLE;2457;1930;1169;707;376;81;5;925;712;405;262;117;25;1
2011;LYON;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE PROFESSIONNELLE;274;266;248;118;108;22;0;107;104;97;43;40;14;0
2011;NANCY-METZ;44;Grand-Est;15 ans ou moins;SERIE PROFESSIONNELLE;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2011;STRASBOURG;44;Grand-Est;17 ans ou plus;SERIE PROFESSIONNELLE;231;134;52;38;10;4;0;112;75;28;21;4;3;0
2011;TOULOUSE;76;Occitanie;16 ans;SERIE PROFESSIONNELLE;781;689;453;279;148;26;0;335;302;215;125;73;17;0
2011;TOULOUSE;76;Occitanie;15 ans ou moins;SERIE PROFESSIONNELLE;205;198;156;73;65;18;0;86;84;66;28;28;10;0
2011;NANTES;52;Pays-de-la-Loire;15 ans ou moins;SERIE PROFESSIONNELLE;434;415;362;154;176;30;2;153;145;128;54;62;11;1
2011;ROUEN;28;Normandie;16 ans;SERIE PROFESSIONNELLE;372;302;236;166;66;4;0;162;131;108;74;32;2;0
2011;ROUEN;28;Normandie;17 ans ou plus;SERIE PROFESSIONNELLE;365;212;115;86;21;8;0;169;98;53;41;10;2;0
2011;NICE;93;Provence-Alpes-Côte-d'Azur;17 ans ou plus;SERIE PROFESSIONNELLE;461;377;179;144;31;4;0;200;169;83;70;12;1;0
2011;CRETEIL;11;Île-de-France;16 ans;SERIE PROFESSIONNELLE;1662;1363;982;703;239;39;1;709;577;425;319;87;19;0
2011;CRETEIL;11;Île-de-France;15 ans ou moins;SERIE PROFESSIONNELLE;432;412;330;208;105;17;0;166;155;130;77;44;9;0
2011;VERSAILLES;11;Île-de-France;16 ans;SERIE PROFESSIONNELLE;1326;1091;676;522;126;27;1;504;400;242;193;44;5;0
2011;LA REUNION;04;La-Réunion;15 ans ou moins;SERIE PROFESSIONNELLE;534;521;436;236;161;38;1;251;249;214;117;76;21;0
2011;GUYANE;03;Guyane;15 ans ou moins;SERIE PROFESSIONNELLE;11;9;7;7;0;0;0;2;2;2;2;0;0;0
2011;BORDEAUX;75;Nouvelle-Aquitaine;17 ans ou plus;SERIE TECHNOLOGIQUE;330;289;239;162;63;12;2;152;133;113;80;29;3;1
2011;LYON;84;Auvergne-et-Rhône-Alpes;17 ans ou plus;SERIE TECHNOLOGIQUE;266;218;169;127;35;7;0;125;103;80;60;18;2;0
2011;RENNES;53;Bretagne;17 ans ou plus;SERIE TECHNOLOGIQUE;492;440;338;195;114;29;0;186;166;119;66;40;13;0
2011;STRASBOURG;44;Grand-Est;15 ans ou moins;SERIE TECHNOLOGIQUE;211;206;190;121;58;11;0;84;83;77;45;29;3;0
2011;NANTES;52;Pays-de-la-Loire;17 ans ou plus;SERIE TECHNOLOGIQUE;447;360;228;160;56;11;1;219;173;106;74;28;3;1
2011;AMIENS;32;Hauts-de-France;16 ans;SERIE TECHNOLOGIQUE;675;637;483;331;129;22;1;250;237;190;127;55;8;0
2011;VERSAILLES;11;Île-de-France;16 ans;SERIE TECHNOLOGIQUE;799;762;636;459;157;19;1;324;311;268;189;69;10;0
2011;CORSE;94;Corse;15 ans ou moins;SERIE TECHNOLOGIQUE;12;7;6;2;3;1;0;4;2;2;1;1;0;0
2011;CORSE;94;Corse;17 ans ou plus;SERIE TECHNOLOGIQUE;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2011;GUYANE;03;Guyane;16 ans;SERIE TECHNOLOGIQUE;120;111;73;60;10;3;0;57;50;37;29;6;2;0
2012;PARIS;11;Île-de-France;17 ans ou plus;SERIE COLLEGE;477;455;203;144;51;7;1;214;210;93;63;25;4;1
2012;AIX-MARSEILLE;93;Provence-Alpes-Côte-d'Azur;15 ans ou moins;SERIE COLLEGE;23757;23564;21328;6294;7156;5399;2479;12253;12174;11237;2967;3677;3056;1537
